언론사,기자,제목,기사본문,기사링크
KBS,임종빈 (chef@kbs.co.kr),[단독] 북 미사일 잡는 이지스 율곡이이함 발전기 고장…작전 지장 없나?,"[앵커]북한의 미사일 도발 위협은 커지고 있는데, 이를 탐지하는 우리 해군의 이지스함 3척 가운데 한 척이 정비 중에 일어난 사고로 발이 묶일 뻔했던 사실이 뒤늦게 드러났습니다.임종빈 기자가 단독 보도합니다.[리포트]고성능 레이더와 중장거리 미사일 등 광범위한 방어력을 갖춘 율곡이이함.우리 해군의 두 번째 이지스함으로 2011년 실전 배치됐습니다.지난달 22일 율곡이이함이 해군 군수사령부의 협력업체에서 정비를 받던 중 발전기가 고장 나는 사고가 난 것으로 뒤늦게 확인됐습니다.갑판의 미끄럼 방지 작업을 하기 위해 마스킹 작업 즉, 테이프로 발전기의 공기 흡입구를 막았는데, 다른 작업자가 발전기를 그대로 돌려버린 겁니다.이 때문에 발전기 내부에서 일부 전선 등이 손상되자 발전기 자동정지 기능이 작동한 것으로 전해졌습니다.발전기가 해외업체 제품이어서 곧바로 수리할 수 없었던 해군은 일단 세종대왕함에서 발전기 부품을 분리해 교체했습니다.우리 군 최초의 이지스함인 세종대왕함은 해군 제7기동전단의 기함입니다.해군 관계자는 이지스함은 원래 발전기를 1개만 돌려도 운용이 가능하지만, 임무 수행을 위해 추가로 더 싣고 다닌다며 율곡이이함의 향후 훈련 일정 등을 고려해 세종대왕함에 있는 추가 발전기 부품을 사용했다고 설명했습니다.따라서 두 함 모두 작전 운용에는 전혀 지장이 없다는 게 해군 설명입니다.해군은 정비업체 등을 상대로 안전관리규정 준수 여부와 사고 경위 등을 조사하고 있습니다.발전기 수리 비용은 적게는 수천만 원에서 최대 수십억 원이 드는 것으로 전해졌습니다.k 뉴스 임종빈입니다.영상편집:최근혁그래픽:박미주 제보하기 전화 : 02-781-1234, 4444 이메일 :  카카오톡 : 'k제보' 검색, 채널 추가 네이버, 유튜브에서 k뉴스를 구독해주세요!",https://n.news.naver.com/mnews/article/056/0011729262?sid=100
한국일보,김정현 기자 (virtu@hankookilbo.com),"한중일 정상회의에… 與 ""협력 새 지평"" 野 ""굴욕외교""","윤석열 대통령이 27일 서울 청와대 영빈관에서 한중일 정상회의를 앞두고 리창(오른쪽) 중국 총리, 기시다 후미오 일본 총리와 함께 기념촬영을 하고 있다. 대통령실 제공여야가 4년 5개월 만에 개최된 한중일 정상회의에 대해 엇갈린 평가를 내놨다. 국민의힘은 “3국 협력의 새 지평”이라고 호평한 반면, 더불어민주당은 “굴욕외교”라고 비판했다.곽규택 국민의힘 수석대변인은 27일 “인적 교류·기후변화 대응 협력을 통한 지속 가능한 발전 도모 등 ‘6대 중점 협력 분야’를 담은 '공동선언문'을 도출해 3국의 협력 체제를 견고히 했다”고 평가했다.곽 수석대변인은 “특히 이번 정상회의를 앞두고 북한은군사정찰위성 발사 감행을 예고하며 한반도 평화를 위협하는 도발이 있었다”며 “‘한반도와 동북아의 평화·안정·번영이 공동이익이자 공동책임’이라는 점에 3국이 한뜻을 모아 목소리를 낸 것은 큰 의의가 있다”고 밝혔다.또 한중·한일 양자회담에 대해서 “중국과는 자유무역협정 2단계 협상 재개와 수출통제대화체 신설, 일본과는 한일 수소협력대화 및 한일 자원협력대화 출범 등 ‘공급망 협력 강화’에 합의한 만큼, 지속적인 외교 소통을 통해 미래 경제에 큰 동력이 되기를 기대한다”고 덧붙였다.반면 이해식 민주당 수석대변인은 “경제통상, 인적교류 등은 나름의 성과이고 한중일 3국의 회담이 정례화된 것도 의미가 있다”면서도 “3국 국민의 건강권에 위협을 줄 수 있는 후쿠시마 핵 오염수 문제에 대해 아무런 논의가 없었다는 점은 심히 유감스럽다”고 지적했다.이 수석대변인은 “특히 윤석열 대통령은 한일 정상회담에서 '라인 사태'에 대해 엄중 항의하는 대신 거꾸로 일본을 대신해 해명해 주며 대체 누구를 위한 외교인지 의문스럽게 했다”며 “우리 정부가 독도영유권, 강제동원 배상, 후쿠시마 핵 오염수 등 중요 현안에 대해서 어떤 요구도 하지 않은 것 역시 윤석열 정부의 대일외교를 근본부터 의심할 수밖에 없게 한다”고 비판했다. 그러면서 “국민들이 언제까지 윤석열 정부의 속 터지는 굴욕외교를 지켜봐야 하느냐”고 따져 물었다.",https://n.news.naver.com/mnews/article/469/0000803584?sid=100
뉴스1,노민호 기자 (ntiger@news1.kr),한미일 외교차관협의회 31일 워싱턴서 개최…한중일 정상회의 결과 공유,"한중일 정상회의 '직후' 개최…결과 공유 美측 요청 있을 듯7월 '나토' 계기 한미일 정상회의 관측 속 사전 조율 성격도ⓒ news1 d서울뉴스1) 노민호 기자  한국과 미국, 일본의 외교차관들이 이번 주 미국에서 대면 협의를 진행한다.27일 외교부에 따르면 김홍균 외교부 1차관은 오는 31일(현지시간) 미 워싱턴dc 인근 버지니아주(州)의 커트 캠벨 미 국무부 부장관의 개인 농장에서 열리는 제13차 한미일 외교차관협의회에 참석한다.김 차관은 이번 협의회에서 캠벨 부장관, 오카노 마사타카 일본 외무성 사무차관과 △지역·글로벌 도전 과제와 전략 경쟁, △인도·태평양 지역 협력 △경제·기술·에너지 파트너십 등에 대해 논의할 예정이다.김 차관은 이번 협의회를 계기로 미국, 일본 측과 각각 양자 협의도 가질 예정이라고 외교부는 전했다.3국 외교차관들은 협의회에 앞서 별도의 공동기자회견을 가지고 회의 이후엔 업무만찬 일정도 소화할 계획이다.이번 한미일 외교차관 협의회는 지난 2022년 5월 윤석열 정부 출범 이후 네 번째다. 이에 앞서 지난해 2월 워싱턴dc에서, 2022년 6월과 10월에 각각 서울과 도쿄에서 개최된 바 있다.이번 협의회는 26~27일 일정으로 한중일 정상회의가 서울에서 개최된 지 불과 나흘 만에 열리는 것이다.이에 따라 미국 측은 한중일 정상회의와 이를 계기로 열린 양자 차원의 회담 결과와 관련해 한일 양국에 설명을 요청할 것으로 전망된다.아울러 오는 7월 워싱턴dc에서 북대서양조약기구(nato·나토) 정상회의를 계기로 한미일 정상회의가 개최될 가능성이 큰 가운데 이에 대한 사전 조율 차원의 의견 교환도 있을 것으로 예상된다.",https://n.news.naver.com/mnews/article/421/0007564963?sid=100
TV조선,정민진 기자(watch365@chosun.com),"與 장동혁 ""한동훈 면담 부적절"" 공개 반발…'책임론' 뺀 백서 논의","[앵커]국민의힘은 총선 참패 원인을 규명하기 위해 만든 총선백서특위를 둘러싸고 논란이 끊이지 않고 있습니다. 한동훈 비대위 체제에서 사무총장을 지낸 장동혁 의원은, 백서특위가 한 전 위원장을 면담하겠다는 건 부적절하다고 비판했습니다. 논란이 계속되자 백서특위는 '책임론'을 뺀 내용만 먼저 공개하는 방안도 검토하고 있습니다.정민진 기자의 보도입니다.[리포트]국민의힘 총선백서특위는 패배 원인에 대한 궁금증은 모두 백서에 담아야 한다며 한동훈 전 위원장 면담을 거듭 예고했습니다.조정훈  국민의힘 총선백서특위 위원장 (지난 14일)한동훈 위원장님은 설문조사 결과가 어느 정도 정리되는 대로 그 결과를 가지고 한번 면담 요청하려고 합니다.이에 대해 장동혁 의원은 백서특위가 특검은 아니지 않느냐며 책임을 지고 물러난 한 전 위원장과 대통령실 참모진 면담은 부적절하다고 공개 반발했습니다.장 의원이 한동훈 비대위에서 사무총장을 지낸 측근으로 꼽히는 만큼, 사실상 한 전 위원장의 불만이 반영된 것이란 해석이 나왔습니다.영입 인재인 고동진 당선인도 한 전 위원장에게 총선 참패 책임을 오롯이 지우는 건 부당하다고 했습니다.고동진  국민의힘 당선인일부 분들이 특정 개인을 언급을 하고 그러는 모습을 보면서 좀 안타깝다반발이 커지자 백서특위는 총선 패배 책임에 대한 내용이 담긴 부분은 따로 떼어내 전당대회 뒤로 공개를 미루는 방안을 논의하기로 했습니다.다만 한 전 위원장 면담은 예정대로 추진하겠단 계획입니다.반성문이 되어야할 백서 작업이 특정인사에 대한 책임론 공방으로 번지면서, 당내에선 백서 발간 실효성에 의문을 제기하는 목소리가 적지 않습니다.tv조선 정민진입니다.",https://n.news.naver.com/mnews/article/448/0000460089?sid=100
YTN,김다연(kimdy0818@ytn.co.kr),접점 안 보이는 연금개혁...결국 22대 국회로 넘어가나,"보험료율·소득대체율 접점…'구조 개혁' 평행선與 모수 개혁·구조 개혁, 함께 이뤄져야與 반쪽자리 개혁…22대 국회서 논의 이어가야野 소득대체율 44% 수용…원포인트 본회의 개최野 연금특위 간사 김성주, 비공개 합의문 공개[앵커]21대 국회 사실상 마지막 본회의가 하루 앞으로 다가왔지만, 여야는 최대 현안으로 떠오른 국민연금 개혁안을 두고 이견을 좁히지 못하고 있습니다.내일까지 물밑 협의는 이어갈 거로 보이지만, 여야 입장 차가 커 공은 22대 국회로 넘어가는 분위기입니다.김다연 기자가 보도합니다.[기자]여야는 내는 돈인 보험료율과 받는 돈인 소득대체율에선 접점을 찾았지만, 기초연금 통합 등 '구조개혁' 여부를 놓고 평행선을 달렸습니다.국민의힘은 보험료율 등 모수 개혁과 구조개혁을 함께 가야 한다는 주장을 굽히지 않고 있습니다.모수 개혁은 기금 고갈을 늦출 뿐, 근본적 해결이 이뤄지지 않는 반쪽짜리 개혁이라는 겁니다.22대 국회에서 여야정 협의체와 연금개혁 특위를 꾸려 차분히 논의를 이어가면 될 일이라고 거듭 강조했습니다.[황우여  국민의힘 비상대책위원장 : 모수 개혁만으로 일단락을 짓고 다시 구조개혁을 한다면 서로 모순과 충돌이 생기고 또 세대 간 갈등과 여러 가지 우려되는 것이 있기 때문에….]하지만 여당 일각, 특히 당권 주자를 중심으로 '모수 개혁이라도 받자'며 당 지도부와는 온도차를 드러냈습니다.[윤상현  국민의힘 의원 (ytn 라디오 '뉴스파이팅, 배승희입니다') : 모수 개혁에 합의만 하는 것도 대단히 긍정적인 평가입니다. 저는 이재명 대표의 (제안을) 긍정적으로 봅니다.]민주당은 국민의힘이 제시한 소득대체율 44% 안을 받아들이겠다는데도 모수 개혁만이라도 여당이 받지 않는 이유를 모르겠다는 반응입니다.오직 연금개혁안 처리만을 위한 '원포인트 본회의'만이라도 열자고 제안했습니다.[이재명  더불어민주당 대표 : 다시 미루면 위원회 구성하고 논의하고 이러느라고 한 1년 갈 거고 그러면 곧 지방선거고 그 다음이 대선인데 실제로 할 수 있겠습니까? 안 하자는 것 같습니다.]연금개혁특위 김성주 의원은 별도 기자회견을 열고, 여당 측 서명이 담긴 비공개 합의문까지 공개하며 여당의 수용을 거듭 압박했습니다.다만, 여당이 협조적이지 않은 만큼 22대 국회에서라도 조속히 결론 내야 하지 않겠느냐는 현실론도 제기됩니다.[진성준  더불어민주당 정책위의장 (c 라디오 '김현정의 뉴스쇼') : 모수 개혁을 합의하고 처리하고 가기는 어려울 것으로 보입니다. 22대에서라도 해야죠. 해야 하는데 그때는 정부가 더 책임 있는 자세로 나와야 할 것입니다.]여야는 국회의장 주재로 열린 원내대표 회동에서도 절충점을 찾지 못했습니다.연금개혁 공방에 민생 현안을 둘러싼 주도권 다툼의 성격도 가미되면서, 22대 국회에서도 치열한 신경전이 우려된다는 전망도 나옵니다.ytn 김다연입니다.촬영기자 : 이성모 한상원영상편집 : 양영운디자인 : 김진호※ '당신의 제보가 뉴스가 됩니다'[카카오톡] ytn 검색해 채널 추가[전화] 02-398-8585[메일]",https://n.news.naver.com/mnews/article/052/0002040933?sid=100
YTN,정인용(quotejeong@ytn.co.kr),"뒷전 밀린 22대 원 구성...민주, '6월 7일까지' 강공","[앵커]이번 주 22대 국회 개원을 앞두고, 연금개혁안과 '채 상병 특검법'을 둘러싼 여야 대치 속에 상임위 배분, 원 구성 논의는 뒷전으로 밀리는 모습입니다.법사위와 운영위를 두고 양보 없는 기 싸움이 벌어지는 가운데, 민주당이 원 구성 법정 기한 '6월 7일'을 못 박고 나서 협상의 귀추가 주목됩니다.정인용 기자입니다.[기자]여야가 원 구성 협상을 위해 처음으로 마주 앉은 건 2주 전이었습니다.[추경호  국민의힘 원내대표(지난 13일) : 평소에도 인품이 훌륭하시고 소통 능력이 탁월하시다 해서 늘 존경하고 좋아하는 마음으로….][박찬대  더불어민주당 원내대표(지난 13일) : 많은 동질감도 있지 않을까 하는 생각이 들고요, 추경호 원내대표 말투 들어보니까 고향 말투여서 무척 반갑고….]이후 여야 협상이 본격화했는데, 아직 진전된 사항은 없는 것으로 알려졌습니다.채 상병 특검법과 연금개혁안을 둘러싼 여야 갈등이 첨예하게 전개되면서 원 구성 협상에 집중할 여력이 없었던 게 주요 원인으로 꼽힙니다.[추경호  국민의힘 원내대표 : (원 구성 관련해선 논의하신 게?) 오늘은 그런 자리는 아닙니다.]본회의 전 법안 통과 필수 관문인 법사위와 대통령실을 담당하는 운영위원회 위원장직을 놓고, 여야의 양보 없는 기 싸움도 여전합니다.총선 민심을 앞세워 둘 모두 확보하겠단 민주당과 관례를 깬 입법 독주라는 국민의힘 간 충돌 양상에 변화가 없는 겁니다.[박찬대  더불어민주당 원내대표(지난 3일 선출 수락연설) : 책임 있는 국회 운영을 위해 법사위와 운영위를 민주당 몫으로 확보하겠습니다.][추경호  국민의힘 원내대표(지난 21일) : 관례와 사실을 외면한 채 국회의장에 이어 운영위와 법사위까지 독식하겠다는 민주당의 발상은 입법독재를 하겠다는 것과 다를 바 없습니다.]특히, 민주당은 국회법에 따른 협상 시한인 다음 달 7일 원 구성을 끝내겠다고 못 박았습니다.[박성준  민주당 원내수석부대표(s 라디오 '김태현의 정치쇼') : 안을 내놔야 서로 협상이 되는 것 아니겠어요. 전혀 안을 내놓고 있지 않기 때문에 협의가 안 된다고 하면 국회법 준수해서 상임위원장 선출하는 그런 과정을 밟겠다는 말씀을….]협상 압박 수위를 끌어올리는 의도로 풀이되지만, 합의 불발 시 21대 국회 전반기처럼 모든 상임위를 가져오겠다는 엄포로도 분석됩니다.여야는 상호 절충안조차 주고받지 않은 것으로 전해졌습니다.최초로 법정 시한을 지키면서도 여야 주장을 조금씩 양보하는 묘수가 필요하단 지적도 나옵니다.ytn 정인용입니다.촬영기자;이상은 이승창영상편집;임종문※ '당신의 제보가 뉴스가 됩니다'[카카오톡] ytn 검색해 채널 추가[전화] 02-398-8585[메일]",https://n.news.naver.com/mnews/article/052/0002040932?sid=100
서울신문,김채현 기자,"정의당 신임 대표, 권영국…부대표에 엄정애·문정은","7일 오전 민주사회를 위한 변호사모임(민변) 대회의실에서 민변이 연 ‘비정규직 이제그만 공동투쟁’ 집회 탄압 관련 헌법소원·국가배상 청구 소송 및 행정소송 제기 기자회견에서 권영국 민변 집회·시위인권침해감시변호단 단장이 발언하고 있다. 연합뉴스4·10 총선에서 한 석도 얻지 못해 22대 국회에서 원외 정당이 된 정의당 차기 대표에 권영국(61) 변호사가 선출됐다.27일 정의당에 따르면 권 변호사는 26일부터 이틀간 당원을 대상으로 모바일과 a를 통해 치러진 투표를 통해 신임 대표직을 맡게 됐다.투표에는 총 선거권자 1만 5042명 중 4408명이 참여했고, 권 변호사는 이중 4107표(93.2%)를 얻었다.정의당은 지난 10∼11일 진행된 당대표·부대표 선거 후보 등록 기간에 아무도 후보 등록을 하지 않아 재차 등록 절차를 진행했고, 권 변호사가 단독으로 입후보해 사실상 추대 형식으로 대표에 선출됐다.부대표 선거에 입후보한 엄정애 경북도당 위원장과 문정은 광주시당 위원장도 각각 90.2%, 88.4%를 득표해 부대표로 선출됐다.",https://n.news.naver.com/mnews/article/081/0003453674?sid=100
매일경제,최기성 매경닷컴 기자(gistar@mk.co.kr),“이재명 ‘누명’ 주장은 명백한 거짓말”…‘검사사칭’ 연루 PD 반박,"[사진출처연합뉴스]더불어민주당 이재명 대표의 이른바 ‘검사 사칭 사건’에 함께 연루됐던 pd가 이 대표의 ‘누명’ 주장은 거짓말이라고 반박했다.27일 연합뉴스에 따르면 서울중앙지법 형사합의33부(김동현 부장판사)는 이날 이 대표의 위증교사 혐의 사건 속행 공판에서 최철호 pd에 대한 증인신문을 진행했다.최 pd는 앞서 2002년 분당파크뷰 특혜 분양 의혹을 취재하면서 이 대표와 공모해 김병량 당시 성남시장에게 전화를 걸어 검사를 사칭한 혐의로 이듬해 선고유예 확정판결을 받았다. 최 pd와 함께 구속됐던 이 대표는 벌금 150만원을 확정받았다.이 대표는 이후 2018년 경기지사 선거 과정에서 이런 전과와 관련해 “제가 한 게 아니고 pd가 사칭하는데 제가 옆에 인터뷰 중이어서 도와줬다는 누명을 썼다”고 언급했다.이와 관련해 최 pd는 이날 법정에서 “명백한 거짓말”이라고 반박했다.2002년 수사 당시 최 pd가 김 시장으로부터 고소 취하를, k로부터 경징계를 각각 약속받은 대가로 자신을 주범으로 몰고 갔다는 이 대표의 주장에 대해서도 “그런 적 자체가 없다”며 “날조된 사실”이라고 밝혔다.최 pd는 검사 사칭 당시 이 대표가 적극 가담했다고 거듭 강조했다.최 pd는 당시 김 시장에게 자신을 수원지검의 서모 검사라고 소개했는데, 이 검사의 이름 역시 이 대표가 알려줬다고 증언했다.그는 “이 대표가 (검사의) 그 이름을 이야기했다”며 “(이 대표가) 당시 메모지에 질문을 적어줬다”고 말했다.이 대표 측 변호인은 반대신문에서 “검찰청이라고 이야기했을 때는 피고인이 없었고, 피고인이 있을 때 증인이 한 건 (김병량 시장의) 음성 메시지를 확인한 것과 김 시장과 통화한 것 아니냐”고 반박했다.검사 사칭 당시 이 대표가 자리에 없었다는 취지다.최 pd는 구체적으로 통화한 과정까지는 기억하지 못한다면서도 “검사라고 얘기하고 질문지를 짜는 과정에서 (이 대표와) 이야기했다”고 밝혔다.이 대표는 2018년 경기지사 선거 방송 토론에서 검사 사칭 전과와 관련해 “누명을 썼다”고 허위사실을 공표한 혐의로 재판받는 과정에서 위증을 교사했다는 혐의를 받는다.검찰은 이 대표가 증인 김진성 씨에게 유리한 내용으로 허위 증언해달라고 요구했다고 보고 이 대표를 위증교사 혐의로, 김씨를 위증 혐의로 기소했다.김씨는 재판에서 허위 진술 사실을 인정했다. 이 대표 측은 부인하고 있다.",https://n.news.naver.com/mnews/article/009/0005309729?sid=100
매일신문,김주원 기자 kjw@imaeil.com,"이해찬, 초선 당선인들에 ""尹 정부 무도한 2년, 빨리 끌어내리란 요구 많아""","더불어민주당 이해찬 상임고문이 27일 오후 여의도 민주연구원에서 열린 '제22대 국회 초선의원 혁신강좌'에서 강의하고 있다. 연합뉴스이해찬 더불어민주당 상임고문은 27일 초선 당선인들에게 22대 국회 임기 초반 강력한 대여(對與) 투쟁을 해줄 것을 촉구했다.이 상임고문은 이날 오후 서울 영등포구 민주연구원에서 진행한 '제22대 국회 초선의원 혁신강좌'에서 윤석열 정부가 하도 무도한 2년을 했기 때문에 '빨리 끌어내려야 한다' '3년이 길다'고 할 정도로 국민 요구가 많다며 이같이 밝혔다.제21대 국회의원 선거에서 민주당을 승리로 이끌었던 이 상임고문은 당시 민주당이 여당이어서 처음부터 싸운다, 투쟁해야 한다는 것이 없었다며 나머지 2년은 야당이 됐는데, 진짜 싸울 줄 몰랐다. 4년이 이렇게 지나가다 보니까 국민들이 실망했다고 진단했다.그러면서 모 의원이 이재명 대표의 대선 경선 때 앞장섰지만 윤석열 정권에 대한 투쟁에 소극적이다 보니 이번 총선 경선에서 탈락했다며 그만큼 유권자들, 권리당원들이 민감하다. 초반 2년은 중앙당 대여 투쟁에 비중을 많이 둬야 할 것이라고 덧붙였다.",https://n.news.naver.com/mnews/article/088/0000881175?sid=100
조선일보,김정환 기자 mynameiset@chosun.com,내일 해병대원 특검 재표결... 민생 법안 합의는 또 불발,"추경호 국민의힘 원내대표(오른쪽)와 박찬대 더불어민주당 원내대표가 27일 오전 국회 의장실에서 김진표 국회의장 주재 여야 원내대표 회동을 마치고 나오고 있다.이덕훈 기자해병대원 특검법 재의결 투표를 위한 21대 국회 마지막 본회의가 28일 열린다. 여야는 27일 김진표 국회의장 주재로 28일 본회의에 올릴 안건을 논의했지만 합의에 실패했다. 국민의힘 반대에도 김 의장은 본회의에 해병대원 특검법은 상정할 것으로 보인다.그 경우 국민의힘은 본회의에 참석해 해병대원 특검법을 부결시킨다는 계획이다. 윤석열 대통령이 재의요구권(거부권)을 행사했던 법안이라 국민의힘이 불참하면 그대로 확정되기 때문이다. 해병대원 특검법 재의결에는 ‘재적 과반 출석, 출석 3분의 2 이상’이 필요하다. 범여권(국민의힘 113석, 자유통일당 1석, 무소속 1석)에서 17명 이상 이탈하지 않으면 가결을 막을 수 있다.이처럼 여야가 해병대원 특검법 등을 놓고 대치 국면을 이어가면서 고준위 방사성폐기물 저장 시설 특별법(고준위법), ‘구하라법’(민법 개정안) 등 민생 법안은 21대 국회에서 사장(死藏)될 위기에 처했다.국민의힘 추경호 원내대표는 이날 더불어민주당 박찬대 원내대표와 회동 후 취재진에게 “무리한 법안 처리에 동의할 수 없기 때문에 내일(28일) 본회의 의사일정 자체를 합의할 수 없다”고 했다. 반면, 박찬대 원내대표는 “반드시 마지막 본회의를 열어서 해병대원 특검법 재의 처리, 전세 사기 특별법 개정안 처리와 130여 건의 민생 법안 처리를 합의하기 위해 마지막까지 노력하겠다”고 했다. 김진표 의장은 특검법과 국민연금 개혁안은 28일 본회의에서 처리하되 여야 이견이 큰 법안은 추가 논의를 하자고 했으나 양당이 받지 않았다고 한다.민주당은 28일 본회의에 특검법 외에 양곡 관리법, 전세 사기 특별법, 민주 유공자법 등 쟁점 법안도 올려서 한꺼번에 처리해야 한다는 입장이다. 하지만 이는 정부·여당이 반대해 온 법안들이다. 만약 민주당이 28일 이 법안들을 강행 처리한다면 윤석열 대통령은 거부권을 행사할 것으로 알려졌다. 윤 대통령이 이미 거부권을 행사했던 특검법과 달리 이 쟁점 법안들은 ‘재적 과반 출석에 출석 과반 찬성’으로 가결될 수 있다. 국민의힘 측은 “민주당이 21대 국회 막판에 쟁점 법안을 처리해 대통령의 거부권 행사 횟수를 늘리려 한다”고 반발하고 있다. 국민의힘은 해당 법안은 막대한 정부 재정 투입이 수반되거나 형평성 차원에서 문제가 많다고 보고 있다.이처럼 여야가 특검법과 쟁점 법안으로 충돌하면서, 양측이 어느 정도 합의했던 민생 법안들은 뒷전에 놓였다. 고준위법이 대표적이다. 이 법안은 원전 가동 과정에서 발생하는 고준위 방사성폐기물 저장 시설이 이미 포화 상태에 이르러, 지하 500m에 영구적으로 보관·처리할 수 있는 방폐장을 만드는 근거를 담은 법안이다. 여야가 원내 지도부나 상임위 차원에서 절충안에 합의했지만 아직 국회 산업통상자원중소벤처기업위에 계류돼 있다. 민주당이 해병대원 특검법을 본회의에서 재의결하겠다고 하면서 국민의힘이 모든 상임위 회의를 보이콧한 탓이다. 자녀 부양 의무를 제대로 다하지 않은 부모의 상속권을 박탈하는 구하라법, 육아휴직 기간을 2년에서 3년으로 연장하는 내용이 담긴 모성보호 3법, 인공지능(ai) 산업 육성 근거가 담긴 ai기본법, 올해 말 일몰 기한이 도래하는 k칩스법, 온라인에서 활동하는 변호사에 대한 과도한 규제를 완화하는 로톡법 등도 발목이 잡혀 있다. 상임위와 법제사법위를 거쳐야 본회의에 상정할 수 있어 여야 간 극적 타결이 없는 한 21대 국회에선 폐기될 공산이 크다.이들 민생 법안을 처리하려면 소관 상임위와 법제사법위가 열려야 하는데 국민의힘이 ‘민주당의 해병대원 특검법 일방 처리’를 이유로 상임위 개최를 거부하고 있다. 민주당과 대치 중인 국민의힘은 이날까지 상임위 보이콧을 풀 생각이 없는 것으로 전해졌다.여야는 ‘민생 법안 폐기’ 비판을 의식한 듯 여론전에 나섰다. 국민의힘 황우여 비상대책위원장은 이날 “특검법은 여야 합의로 추진하고 상정하는 것이 오랜 관행”이라며 “대통령에 대한 미진한 수사가 있거나 오류가 있을 때는 윤석열 대통령이 스스로 특검에 대비하겠다고 이야기했다”고 했다. 민주당 이재명 대표는 “젊은 군인의 억울한 죽음과 권력의 부당한 은폐 의혹을 밝히는 일은 여야 진영 문제가 아니다”라며 “용산(대통령실)이 아닌 국민을 두려워해야 한다”고 했다.",https://n.news.naver.com/mnews/article/023/0003836702?sid=100
